artist,album,track_name
GSPD,Ленинградский Электроклуб,ЭЛЕКТРОКЛУБ
Johnny Cash,American V: A Hundred Highways,God's Gonna Cut You Down
Muddy Waters,Hard Again,Mannish Boy
The Bug,Angels & Devils,Fuck a Bitch
The Cramps,Psychedelic Jungle,Primitive
VIOLENT VIRA,God Complex,God Complex
Tsar B,Tsar B,Escalate
Lorn,The Maze To Nowhere,Acid Rain
Three 6 Mafia,Most Known Unknown (Explicit),Stay Fly
The Cramps,Songs The Lord Taught Us,I Was A Teenage Werewolf - Remastered
Ebo Taylor,Life Stories,Heaven
Wayne Shorter,Native Dancer,Ponta de Areia
King Gizzard & The Lizard Wizard,Paper Mâché Dream Balloon,Bone
Shibby,Honey Creek Lane,Love Gun
Sun Ra,We Travel the Spaceways,Tapestry from an Asteroid
Ceramic Animal,The Cart,Dreams Via Memories
Ofege,Forge Your Own Chains: Heavy Psychedelic Ballads and Dirges 1968-1974,It's Not Easy
The Funkees,"Dancing Time, the Best of Eastern Nigeria's Afro Rock Exponents 1973-77 (Soundway Records)",Onye Mmanya
"Pete ""El Conde"" Rodriguez",Salsa Legends / Acuyuye,I Like It Like That
Arturo O'Farrill,Virtual Birdland,Para Los Rumberos
Stan Getz,Getz/Gilberto,The Girl From Ipanema
Türküm,Marrakech,Marrakech
Edwin Rosen,leichter//kälter,leichter//kälter
Die Sterne,In echt,Nüchtern
Ray Barretto,La Moderna De Siempre,El Borracho
Dizzy Gillespie,Afro,Manteca Theme
Clark Terry,Spanish Rice,Que Sera
The Latinaires,Camel Walk,Afro Shingaling
Death Grips,The Money Store,The Fever (Aye Aye)
Beastie Boys,Check Your Head,So What'Cha Want
$uicideboy$,KILL YOURSELF Part XIII: The Atlantis Saga,"New Chains, Same Shackles"
$uicideboy$,Stop Staring At the Shadows,That Just Isn't Empirically Possible
Ghostemane,ANTI-ICON,Fed Up
Ghostemane,HUMAN ERR0R,I duckinf hatw you
Ghostemane,HUMAN ERR0R,To Whom It May Concern
Ghostemane,N / O / I / S / E,Flesh
Kendrick Lamar,DAMN.,PRIDE.
BONES,SoThereWeStood,Sodium
Ghostemane,For the Aspiring Occultist,Caligula
Ghostemane,ANTI-ICON,Vagabond
$uicideboy$,"My Swisher Sweet, But My Sig Sauer","My Swisher Sweet, But My Sig Sauer"
$uicideboy$,Now The Moon's Rising,Paris
$uicideboy$,7th Or St. Tammany,Dead Batteries
$uicideboy$,YUNGDEATHLILLIFE,LTE
$uicideboy$,KILL YOURSELF Part XX: The Infinity Saga,For The Last Time
$uicideboy$,My Liver Will Handle What My Heart Can't,Kill Yourself (Part III)
Night Lovell,GOODNIGHT LOVELL,JOAN OF ARC
Joe Cocker,With A Little Help From My Friends,With A Little Help From My Friends
Slipknot,.5: The Gray Chapter (Special Edition),Custer
Godsmack,Godsmack,Voodoo
Pussy Riot,1312,1312
Turnstile,GLOW ON,BLACKOUT
$uicideboy$,I Want to Die In New Orleans,122 Days
$uicideboy$,KILL YOURSELF Part XX: The Infinity Saga,Now I'm up to My Neck with Offers
BONES,Rotten,HDMI
Mos Def,Black On Both Sides,Ms. Fat Booty
Vampire Weekend,Vampire Weekend,Campus
Arctic Monkeys,Leave Before The Lights Come On,Baby I'm Yours
$uicideboy$,I No Longer Fear the Razor Guarding My Heel (II),CLYDE (I Hope at Least One of My Ex-Girlfriends Hears This)
Ghostlo,Black Magic,Black Magic
JAY-Z,Watch The Throne,No Church In The Wild
Amy Winehouse,Back To Black,Me & Mr Jones
Redbone,Come and Get Your Love,Come and Get Your Love - Single Version
Death Grips,The Money Store,System Blower
Injury Reserve,Floss,S on Ya Chest
Injury Reserve,Injury Reserve,Three Man Weave
The Alchemist,Bread,E. Coli (feat. Earl Sweatshirt)
The Alchemist,Yacht Rock 2,Ocean Prime (feat. Boldy James)
Shabazz Palaces,Of Light,Chuch
Rolf,Carry Me Away,Carry Me Away
Billy Cobb,Strokes of Incarceration,Break the Ice
Earl Sweatshirt,Doris,Sunday (feat. Frank Ocean)
Death Grips,The Money Store,Lost Boys
$uicideboy$,Black $uicide Side C: The Seventh Seal,Germantown
Earl Sweatshirt,Some Rap Songs,Shattered Dreams
